pair_id,arm,a,b,a_katottg,b_katottg,block,package_label_uk,send_day,deliverable,replied_21d,reminder_sent_day,reply_day,reply_channel,both_replied,reply_side,call_scheduled,call_scheduled_day,call_held,call_held_day,agreed_next_step_30d,agreed_day,concept_drafted_3mo,concept_day,registry_signed_12mo,signed_day,qualitative_code
A024,A,Кагарлицька міська територіальна громада,Бучанська міська територіальна громада,UA32120050000067577,UA32080070000050759,center/large,Вода / захист від повеней — спільне КП,0,True,True,10,12,email,True,both,False,,False,,False,,False,,False,,recognized_shared_priority_stalled
A025,A,Терешківська сільська територіальна громада,Новоселівська сільська територіальна громада,UA53080430000085474,UA53080330000062155,center/mid,тема не визначена — спільний проєкт,0,True,True,,5,telegram,True,both,True,9,True,13,False,,False,,False,,recognized_shared_priority_stalled
A026,A,Миколаївська сільська територіальна громада,Петропавлівська селищна територіальна громада,UA12140170000037152,UA12140230000057328,east/mid,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A027,A,Коломацька селищна територіальна громада,Красноградська міська територіальна громада,UA63020070000090466,UA63060050000033240,east/small,Соціальні послуги — спільне утримання,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A028,A,Березівська сільська територіальна громада,Новослобідська сільська територіальна громада,UA59100010000064812,UA59020110000066430,north/small,Безпека / ЦЗ — спільний проєкт,0,True,True,,1,email,False,b,False,,False,,False,,False,,False,,recognized_shared_priority_stalled
A029,A,Богданська сільська територіальна громада,Рахівська міська територіальна громада,UA21060010000011784,UA21060050000029937,west/mid,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A030,A,Жмеринська міська територіальна громада,Вінницька міська територіальна громада,UA05060050000058111,UA05020030000031457,center/large,тема не визначена — спільний проєкт,0,True,True,,9,email,True,both,True,16,True,20,False,,False,,False,,capacity_blocked
A031,A,Білокриницька сільська територіальна громада,Острозька міська територіальна громада,UA56060050000010769,UA56060450000083945,west/mid,Безпека / ЦЗ — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A032,A,Коцюбинська селищна територіальна громада,Гостомельська селищна територіальна громада,UA32080170000086616,UA32080110000056605,center/mid,тема не визначена — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A033,A,Ланнівська сільська територіальна громада,Білицька селищна територіальна громада,UA53080190000081150,UA53080010000088479,center/small,Вода / захист від повеней — спільне КП,0,True,True,10,18,telegram,True,both,True,24,True,26,True,28,False,,False,,recognized_shared_priority_stalled
A034,A,Бердичівська міська територіальна громада,Житомирська міська територіальна громада,UA18020030000035625,UA18040190000029215,center/large,Вода / захист від повеней — спільне КП,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A035,A,Банилівська сільська територіальна громада,Юрковецька сільська територіальна громада,UA73020010000044067,UA73060650000012771,west/small,ЦНАП / адмінпослуги — делегування,0,True,True,,4,email,True,both,True,12,False,,False,,False,,False,,recognized_shared_priority_stalled
A036,A,Баришівська селищна територіальна громада,Глевахівська селищна територіальна громада,UA32060010000086043,UA32140070000012102,center/large,Безпека / ЦЗ — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A037,A,Сарненська міська територіальна громада,Клесівська селищна територіальна громада,UA56080170000055864,UA56080090000098391,west/large,тема не визначена — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A038,A,Криничанська селищна територіальна громада,Кам'янська міська територіальна громада,UA12040170000019083,UA12040150000015189,east/mid,Безпека / ЦЗ — спільний проєкт,0,True,True,,2,telegram,False,b,True,8,True,9,False,,False,,False,,recognized_shared_priority_stalled
A039,A,Губиниська селищна територіальна громада,Магдалинівська селищна територіальна громада,UA12100010000093577,UA12100050000045992,east/mid,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A040,A,Гребінківська міська територіальна громада,Лубенська міська територіальна громада,UA53040010000091190,UA53040030000088898,center/mid,Безпека / ЦЗ — спільний проєкт,0,True,True,,8,telegram,True,both,True,13,True,13,True,20,False,,False,,recognized_shared_priority_stalled
A041,A,Іларіонівська селищна територіальна громада,Саксаганська сільська територіальна громада,UA12140110000060935,UA12040230000099388,east/mid,Туризм / кластер — спільний проєкт,0,True,True,10,11,email,True,both,True,17,True,17,False,,False,,False,,rejected_as_irrelevant
A042,A,Литовезька сільська територіальна громада,Рава-Руська міська територіальна громада,UA07020090000019505,UA46060390000035967,west/small,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A043,A,Березнівська міська територіальна громада,Шпанівська сільська територіальна громада,UA56060030000057923,UA56060510000062151,west/large,тема не визначена — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A044,A,Бузька сільська територіальна громада,Мостівська сільська територіальна громада,UA48040030000013036,UA48040150000011861,south/small,ЦНАП / адмінпослуги — делегування,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A045,A,Буринська міська територіальна громада,Путивльська міська територіальна громада,UA59020030000072865,UA59020150000078955,north/mid,Безпека / ЦЗ — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A046,A,Мачухівська сільська територіальна громада,Полтавська міська територіальна громада,UA53080230000047239,UA53080370000025447,center/small,Поводження з відходами / довкілля — спільне КП,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
A047,A,Шишацька селищна територіальна громада,Великосорочинська сільська територіальна громада,UA53060330000036503,UA53060070000077527,center/mid,Поводження з відходами / довкілля — спільне КП,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
A048,A,Ромоданівська селищна територіальна громада,Миргородська міська територіальна громада,UA53060270000016329,UA53060230000098362,center/small,тема не визначена — спільний проєкт,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B001,B,Здолбунівська міська територіальна громада,Корнинська сільська територіальна громада,UA56060250000052338,UA56060330000075139,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B002,B,Здолбунівська міська територіальна громада,Олександрійська сільська територіальна громада,UA56060250000052338,UA56060430000081857,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B003,B,Костопільська міська територіальна громада,Соснівська селищна територіальна громада,UA56060350000045909,UA56060490000031684,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B004,B,Рівненська міська територіальна громада,Костопільська міська територіальна громада,UA56060470000086729,UA56060350000045909,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B005,B,Бурштинська міська територіальна громада,Більшівцівська селищна територіальна громада,UA26040070000065724,UA26040010000011271,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B006,B,Рівненська міська територіальна громада,Корнинська сільська територіальна громада,UA56060470000086729,UA56060330000075139,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B007,B,Дубровицька міська територіальна громада,Немовицька сільська територіальна громада,UA56080070000040721,UA56080130000056682,west/large,,0,True,True,,5,telegram,True,both,False,,False,,False,,False,,False,,capacity_blocked
B008,B,Великобичківська селищна територіальна громада,Тячівська міська територіальна громада,UA21060030000020114,UA21080150000014443,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B009,B,Богородчанська селищна територіальна громада,Солотвинська селищна територіальна громада,UA26040030000091528,UA26040290000025886,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B010,B,Городенківська міська територіальна громада,Коломийська міська територіальна громада,UA26080030000014307,UA26080070000092582,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B011,B,Боремельська сільська територіальна громада,Радивилівська міська територіальна громада,UA56040030000031906,UA56040290000025511,west/small,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
B012,B,Вікнянська сільська територіальна громада,Жванецька сільська територіальна громада,UA73060090000047054,UA68020070000084437,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B013,B,Боремельська сільська територіальна громада,Козинська сільська територіальна громада,UA56040030000031906,UA56040130000011543,west/small,,0,True,True,10,16,email,True,both,True,23,True,26,False,,False,,False,,recognized_shared_priority_stalled
B014,B,Волоківська сільська територіальна громада,Герцаївська міська територіальна громада,UA73060110000070017,UA73060130000078771,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B015,B,Космацька сільська територіальна громада,Поляницька сільська територіальна громада,UA26100030000012148,UA26120130000088448,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B016,B,Рукшинська сільська територіальна громада,Жванецька сільська територіальна громада,UA73040150000056182,UA68020070000084437,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B017,B,Дубовецька сільська територіальна громада,Тисменицька міська територіальна громада,UA26040130000010870,UA26040330000019235,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B018,B,Боремельська сільська територіальна громада,Тараканівська сільська територіальна громада,UA56040030000031906,UA56040350000014945,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B019,B,Кутська селищна територіальна громада,Яблунівська селищна територіальна громада,UA26100050000019570,UA26100090000038366,west/mid,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
B020,B,Клішковецька сільська територіальна громада,Лівинецька сільська територіальна громада,UA73040050000080963,UA73040070000053425,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B021,B,Клішковецька сільська територіальна громада,Чагорська сільська територіальна громада,UA73040050000080963,UA73060590000095243,west/mid,,0,True,True,10,11,telegram,True,both,True,14,True,16,True,20,True,57,False,,recognized_shared_priority_advanced
B022,B,Журавненська селищна територіальна громада,Галицька міська територіальна громада,UA46100070000076013,UA26040090000025932,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B023,B,Великогаївська сільська територіальна громада,Збаразька міська територіальна громада,UA61040110000010646,UA61040150000098181,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B024,B,Яремчанська міська територіальна громада,Ясінянська селищна територіальна громада,UA26120150000021671,UA21060070000049340,west/mid,,0,True,True,10,12,email,True,both,True,21,True,22,False,,False,,False,,recognized_shared_priority_stalled
B025,B,Дубівська селищна територіальна громада,Ясінянська селищна територіальна громада,UA21080070000025254,UA21060070000049340,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B026,B,Горінчівська сільська територіальна громада,Дубівська селищна територіальна громада,UA21120050000055437,UA21080070000025254,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B027,B,Іванівська сільська територіальна громада,Уланівська сільська територіальна громада,UA05120050000063063,UA05120150000069474,center/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B028,B,Городківська сільська територіальна громада,Ободівська сільська територіальна громада,UA05100050000038768,UA05040150000077146,center/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B029,B,Новооржицька селищна територіальна громада,Оржицька селищна територіальна громада,UA53040050000091161,UA53040070000083099,center/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B030,B,Машівська селищна територіальна громада,Скороходівська селищна територіальна громада,UA53080250000097618,UA53080410000094938,center/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B031,B,Бориспільська міська територіальна громада,Українська міська територіальна громада,UA32040010000010116,UA32120150000062718,center/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B032,B,Зіньківська міська територіальна громада,Краснолуцька сільська територіальна громада,UA53080090000014431,UA53060170000064030,center/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B033,B,Бориспільська міська територіальна громада,Вороньківська сільська територіальна громада,UA32040010000010116,UA32040030000083910,center/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B034,B,Рокитнянська селищна територіальна громада,Фурсівська сільська територіальна громада,UA32020130000010013,UA32020250000099079,center/large,,0,True,True,,4,email,True,both,True,12,True,12,True,18,False,,False,,rejected_as_irrelevant
B035,B,Великобудищанська сільська територіальна громада,Лютенська сільська територіальна громада,UA53060050000024229,UA53060210000044776,center/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B036,B,Оболонська сільська територіальна громада,Семенівська селищна територіальна громада,UA53020150000098867,UA53020230000086353,center/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B037,B,Лютенська сільська територіальна громада,Сергіївська сільська територіальна громада,UA53060210000044776,UA53060310000047988,center/small,,0,True,True,10,16,telegram,True,both,True,21,True,21,False,,False,,False,,capacity_blocked
B038,B,Криворізька міська територіальна громада,Широківська селищна територіальна громада,UA12060170000091033,UA12060290000039013,east/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B039,B,Харківська міська територіальна громада,Вільхівська сільська територіальна громада,UA63120270000028556,UA63120050000019867,east/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B040,B,Нікопольська міська територіальна громада,Марганецька міська територіальна громада,UA12080050000062712,UA12080010000029838,east/large,,0,True,True,,6,email,True,both,False,,False,,False,,False,,False,,capacity_blocked
B041,B,Козелецька селищна територіальна громада,Великодимерська селищна територіальна громада,UA74100190000086457,UA32060070000092009,north/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B042,B,Обухівська селищна територіальна громада,Підгородненська міська територіальна громада,UA12020170000068526,UA12020210000032285,east/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B043,B,Кролевецька міська територіальна громада,Попівська сільська територіальна громада,UA59020090000085438,UA59020130000060377,north/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B044,B,Кіптівська сільська територіальна громада,Остерська міська територіальна громада,UA74100170000043593,UA74100310000091595,north/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B045,B,Вишнівська селищна територіальна громада,П'ятихатська міська територіальна громада,UA12040070000083117,UA12040210000039759,east/small,,0,True,True,,8,email,True,both,False,,False,,False,,False,,False,,capacity_blocked
B046,B,Мигіївська сільська територіальна громада,Первомайська міська територіальна громада,UA48080110000010732,UA48080130000028458,south/small,,0,True,True,,5,email,True,both,True,14,True,15,False,,False,,False,,rejected_as_irrelevant
B047,B,Херсонська міська територіальна громада,Дар’ївська сільська територіальна громада,UA65100150000057191,UA65100070000064512,south/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
B048,B,Сенчанська сільська територіальна громада,Чорнухинська селищна територіальна громада,UA53060290000047345,UA53040130000097690,center/small,,0,True,True,,3,telegram,True,both,True,6,True,6,False,,False,,False,,rejected_as_irrelevant
C001,C,Косівська міська територіальна громада,Чорноморська сільська територіальна громада,UA26100010000076570,UA48060350000011218,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C002,C,Тернопільська міська територіальна громада,Виноградівська міська територіальна громада,UA61040490000035010,UA21020110000091104,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C003,C,Львівська міська територіальна громада,Ставищенська селищна територіальна громада,UA46060250000025047,UA32020170000020698,west/large,,0,True,True,,2,email,True,both,True,7,True,9,True,13,False,,False,,recognized_shared_priority_stalled
C004,C,Кельменецька селищна територіальна громада,Софіївська селищна територіальна громада,UA73040030000042378,UA12060270000017282,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C005,C,Жовківська міська територіальна громада,Бердянська міська територіальна громада,UA46060130000059055,UA23020050000046501,west/large,,0,True,True,,6,email,False,a,True,13,True,17,False,,False,,False,,capacity_blocked
C006,C,Мостиська міська територіальна громада,Ямпільська міська територіальна громада,UA46140030000023506,UA05080110000056824,west/large,,0,True,True,,7,email,True,both,True,14,True,18,False,,False,,False,,capacity_blocked
C007,C,Рокитнівська селищна територіальна громада,Джуринська сільська територіальна громада,UA56080150000069525,UA05060030000026125,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C008,C,Сокирянська міська територіальна громада,Березанська міська територіальна громада,UA73040170000011490,UA32060030000048241,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C009,C,Рогатинська міська територіальна громада,Ставищенська селищна територіальна громада,UA26040270000047749,UA32020170000020698,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C010,C,Мостиська міська територіальна громада,Райгородська сільська територіальна громада,UA46140030000023506,UA05040190000039450,west/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C011,C,Острожецька сільська територіальна громада,Нечаянська сільська територіальна громада,UA56040210000047101,UA48060190000070297,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C012,C,Боянська сільська територіальна громада,Сновська міська територіальна громада,UA73060010000052133,UA74020050000033944,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C013,C,Кадубовецька сільська територіальна громада,Циблівська сільська територіальна громада,UA73060210000010691,UA32040190000043384,west/small,,0,True,True,,6,email,True,both,True,11,True,11,True,20,True,63,False,,recognized_shared_priority_advanced
C014,C,Малолюбашанська сільська територіальна громада,Северинівська сільська територіальна громада,UA56060390000090915,UA05060110000027268,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C015,C,Вашковецька сільська територіальна громада,Березнегуватська селищна територіальна громада,UA73040010000039325,UA48020030000061219,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C016,C,Полицька сільська територіальна громада,Селятинська сільська територіальна громада,UA56020130000066130,UA73020150000076225,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C017,C,Малинська сільська територіальна громада,Ляшківська сільська територіальна громада,UA56060370000023028,UA12020070000057092,west/small,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
C018,C,Кадубовецька сільська територіальна громада,Пришибська сільська територіальна громада,UA73060210000010691,UA53020210000023587,west/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C019,C,Вижницька міська територіальна громада,Монастириська міська територіальна громада,UA73020090000031499,UA61060310000061998,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C020,C,Вишківська селищна територіальна громада,Новоолександрівська сільська територіальна громада,UA21120030000076462,UA65020170000056973,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C021,C,Байковецька сільська територіальна громада,Глибоцька селищна територіальна громада,UA61040010000042862,UA73060150000088691,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C022,C,Вишківська селищна територіальна громада,Боярська міська територіальна громада,UA21120030000076462,UA32140030000074165,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C023,C,Новодністровська міська територіальна громада,Боярська міська територіальна громада,UA73040130000087963,UA32140030000074165,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C024,C,Верховинська селищна територіальна громада,Боярська міська територіальна громада,UA26020030000088465,UA32140030000074165,west/mid,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
C025,C,Мізоцька селищна територіальна громада,Жовтоводська міська територіальна громада,UA56060410000055190,UA12040110000091524,west/mid,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
C026,C,Глибоцька селищна територіальна громада,Вишнева міська територіальна громада,UA73060150000088691,UA32080090000011038,west/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C027,C,Липовецька міська територіальна громада,Дунаєвецька міська територіальна громада,UA05020110000052014,UA68020050000040518,center/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C028,C,Кам'янопотоківська сільська територіальна громада,Дубов’язівська селищна територіальна громада,UA53020070000049284,UA59020050000012539,center/mid,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
C029,C,Узинська міська територіальна громада,Галицинівська сільська територіальна громада,UA32020230000012716,UA48060070000087404,center/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C030,C,Згурівська селищна територіальна громада,Білоцерківська міська територіальна громада,UA32060110000050416,UA32020010000093088,center/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C031,C,Білогородська сільська територіальна громада,Васильківська селищна територіальна громада,UA32080010000060215,UA12140030000091432,center/large,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
C032,C,Черкаська міська територіальна громада,Гайсинська міська територіальна громада,UA71080490000022110,UA05040030000050131,center/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C033,C,Черкаська міська територіальна громада,Бершадська міська територіальна громада,UA71080490000022110,UA05040010000022470,center/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C034,C,Черкаська міська територіальна громада,Вакулівська сільська територіальна громада,UA71080490000022110,UA12060030000081794,center/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C035,C,Опішнянська селищна територіальна громада,Піщанська сільська територіальна громада,UA53080350000070563,UA53020190000090557,center/small,,0,True,True,,8,telegram,False,b,True,11,True,15,False,,False,,False,,recognized_shared_priority_stalled
C036,C,Ганнівська сільська територіальна громада,Хотинська міська територіальна громада,UA35060010000018331,UA73040190000062796,center/small,,0,False,False,,,,False,,False,,False,,False,,False,,False,,undeliverable
C037,C,Бишівська сільська територіальна громада,Шепетівська міська територіальна громада,UA32140010000049369,UA68060330000029010,center/small,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C038,C,Запорізька міська територіальна громада,Дубриницько-Малоберезнянська сільська територіальна громада,UA23060070000082704,UA21100070000018509,east/large,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
C039,C,Дніпровська міська територіальна громада,Коломацька сільська територіальна громада,UA12020010000033698,UA53080150000085889,east/large,,0,True,True,,8,email,True,both,False,,False,,False,,False,,False,,capacity_blocked
C040,C,Запорізька міська територіальна громада,Коломацька сільська територіальна громада,UA23060070000082704,UA53080150000085889,east/large,,0,True,True,10,15,email,True,both,True,21,True,22,True,28,False,,False,,rejected_as_irrelevant
C041,C,Лозуватська сільська територіальна громада,Обухівська міська територіальна громада,UA12060190000043514,UA32120110000025177,east/mid,,0,True,False,10,,,False,,False,,False,,False,,False,,False,,no_response
